,overall,value_eur,wage_eur,skill_moves,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,power_stamina,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
overall,,,,,,,,,,,,,,,,,,,,,,,,,0.864526388553845,,,,,,,,,,,,,,
value_eur,,,0.8580515349397075,,0.9792329426445393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wage_eur,,0.8580515349397075,,,0.8439461581013141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skill_moves,,,,,,,,,0.8125061075582205,,,,,,,,0.8280105609371972,,,,0.8057216661488505,,,,,,,,,,,,,,,,,,
release_clause_eur,,0.9792329426445393,0.8439461581013141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pace,,,,,,,,0.8474126830693184,0.9107366283420217,,,,,,,,0.8490829217120713,,,,0.823991840554313,0.8785544768786088,0.8855581775293937,,,,,,,,,,,,,,,,
shooting,,,,,,,,0.8806938272278338,0.9116182828220369,,,,0.9530574412301103,,,0.9108407252139759,0.9042636495855029,0.8395400466734849,,,0.8972090344275919,,,,,,0.9377911987434198,,,0.9278989358064813,0.8791551247633719,,,,,,,,
passing,,,,,,0.8474126830693184,0.8806938272278338,,0.9632033841494566,,0.8265840984336656,0.8926746015813636,,,0.9413795102461887,,0.9193764565883944,0.8492188393613633,0.8005284632945283,0.856821437510088,0.9492897183778853,,,,,,0.8192628184363948,,,0.8448036947229443,,,,,,,,,
dribbling,,,,0.8125061075582205,,0.9107366283420217,0.9116182828220369,0.9632033841494566,,,0.8097356737258861,0.8562838943379822,,,0.8809438062744901,,0.970214999656513,0.8266139260857276,,,0.9636596421169382,,,,,,0.8229102993929717,,,0.8850982003163066,,,,,,,,,
defending,,,,,,,,,,,0.8160028075089211,,,,,,,,,,,,,,,,,0.8000625066765273,0.9356171573140754,,,0.9479564658646635,0.9600727435792566,0.9442032476090014,,,,,
physic,,,,,,,,0.8265840984336656,0.8097356737258861,0.8160028075089211,,,,0.8707014079461595,,,,,,,,,,,,0.8235597545122776,,0.8012972329463859,,,,,,,,,,,
attacking_crossing,,,,,,,,0.8926746015813636,0.8562838943379822,,,,,,0.8107960599499932,,0.8643291258904967,0.8376866370279562,,,0.8461716440552236,,,,,,,,,,,,,,,,,,
attacking_finishing,,,,,,,0.9530574412301103,,,,,,,,,0.8919613598973402,0.829513907210919,,,,,,,,,,0.8843684195078628,,,0.895441964259987,0.8471014576223249,,,,,,,,
attacking_heading_accuracy,,,,,,,,,,,0.8707014079461595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attacking_short_passing,,,,,,,,0.9413795102461887,0.8809438062744901,,,0.8107960599499932,,,,,0.8511658952129421,,,0.8961802239191018,0.9177214980778241,,,,,,,,,,,,,,,,,,
